{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 latitude:47.91542,longitude:-120.60306,destinationhost:samplehost,username:fakeuser,sourcehost:24.16.97.222,state:Washington,country:United States,label:United States - 24.16.97.222,timestamp:2021-10-26 03:28:29\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:27\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:26\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:24\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:22\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:21\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:19\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:17\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:15\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:14\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:12\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:10\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:09\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:07\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:05\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:04\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:02\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:53:00\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:59\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:57\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:55\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:53\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:52\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:50\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:48\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:47\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:45\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:43\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:42\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:40\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:38\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:37\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:35\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:33\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:31\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:30\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:28\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:26\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:24\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:23\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:21\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:19\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:18\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:16\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:14\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:13\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:11\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:09\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:07\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:06\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:04\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:02\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:52:00\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:59\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:57\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:55\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:53\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:52\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:50\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:48\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:47\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:45\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:43\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:42\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:40\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:38\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:36\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:35\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:33\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:31\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:29\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:28\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:26\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:24\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:23\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:21\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:19\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:18\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:16\
latitude:1.29041,longitude:103.85211,destinationhost:honeypot,username:AZUREUSER,sourcehost:20.247.176.252,state:null, country:Singapore,label:Singapore - 20.247.176.252,timestamp:2022-11-14 21:51:15\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:14\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:13\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:11\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:09\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:07\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:05\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:04\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:02\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:51:00\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:59\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:57\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:55\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:53\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:52\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:50\
latitude:8.98364,longitude:-79.51652,destinationhost:honeypot,username:Administrator,sourcehost:194.165.16.11,state:Panam\'e1, country:Panama,label:Panama - 194.165.16.11,timestamp:2022-11-14 21:50:48\
